+	=
1	|	-7.896108661617502
2	|	927.6037491431366
3	|	-23222.64466692457
4	|	159763.89802065887
5	|	777352.7965490781
6	|	-1.6725627685447399E7
7	|	9.948429010099423E7
8	|	-3.002159460835537E8
9	|	4.851256563880654E8
10	|	-3.79715746526297E8
11	|	1.8633769590433636E8
12	|	-4.5532869574156034E8
13	|	6.192464135898614E8
14	|	4.150920080917733E8
15	|	-1.6959326271998563E9
16	|	1.5906247059351618E9
17	|	-7.669250744032373E8
18	|	4.1168737318075484E8
19	|	-2.747579363237954E8
20	|	8.108895166600396E7

